track_name,artist,genre,release_year,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo,loudness,duration_ms,popularity
Dance Fever,Cardi B,hip-hop,2001,0.758,0.5808,0.0791,0.0,0.0,0.185,109.2,-5.1,179870,41
Lost Glow,Bad Bunny,latin,2024,0.8319,0.7088,0.9503,0.2167,0.0,0.0182,106.6,-6.8,209193,86
Rain Silver,Taylor Swift,pop,2010,0.5374,0.6764,0.6345,0.1493,0.0,0.1035,140.9,-7.6,284825,67
Dance Storm Away,Jhené Aiko,r&b,2006,0.8319,0.7742,0.4789,0.2914,0.0116,0.0703,125.3,-7.4,219659,67
Crystal,Kanye West,hip-hop,2021,0.6638,0.6361,0.3405,0.1452,0.0205,0.4099,81.7,-2.7,191396,53
Dance Low Lost,Frank Ocean,r&b,1995,0.4896,0.3405,0.6929,0.3578,0.0,0.1821,129.7,-7.3,153091,60
Low Stay,Taylor Swift,pop,2013,0.5137,0.6302,0.6423,0.1023,0.0626,0.0281,60.0,-7.9,223955,67
Dance Storm,Mac DeMarco,indie,2016,0.6154,0.9565,0.616,0.8782,0.1029,0.0653,107.5,-9.6,216619,53
Heart Lost Pulse,Yuja Wang,classical,2009,0.2331,0.6057,0.3068,0.893,0.7891,0.0842,121.6,-19.1,158116,13
Night High,André Rieu,classical,2014,0.3334,0.3014,0.5198,0.8494,0.9499,0.0512,135.0,-17.0,156620,28
Away Pulse,Luis Fonsi,latin,1991,0.7866,0.6899,0.6137,0.3119,0.0505,0.1794,95.7,-6.0,218773,73
Heart Fever,Adele,pop,1998,0.7394,0.9809,0.5644,0.0,0.0261,0.0754,75.2,-7.9,243069,76
Waves,Luke Bryan,country,2017,0.3154,0.6926,0.6531,0.4154,0.0,0.0638,102.2,-4.4,237042,56
Blue,Justin Bieber,pop,1992,0.639,0.6413,0.1478,0.2249,0.0188,0.048,109.0,-4.7,125215,58
Dreams Fall Rush,Adele,pop,2009,0.545,0.5473,0.6155,0.3191,0.029,0.0583,171.0,-0.9,176612,44
Silver,Tyler the Creator,hip-hop,1995,0.6612,0.4197,0.5925,0.0893,0.0,0.077,82.6,-5.2,193883,31
Home Glow Shine,Calvin Harris,electronic,2022,0.6531,0.8097,0.1991,0.0453,0.3175,0.0553,128.9,-3.7,261924,87
Away Stay,Luke Combs,country,1990,0.3265,0.6825,0.7773,0.1449,0.0,0.0503,150.9,-9.2,213918,21
Break Love Home,Karol G,latin,1995,0.8583,0.7841,0.7626,0.4302,0.0,0.1278,129.1,-5.0,213697,66
Electric Gone Rush,Megan Thee Stallion,hip-hop,2023,0.6371,0.5468,0.3106,0.0194,0.0117,0.1605,118.7,-5.6,155877,34
Echo Found,Red Hot Chili Peppers,rock,2004,0.3844,1.0,0.2268,0.0346,0.0186,0.0968,139.4,-6.2,201759,50
Gone,Murray Perahia,classical,2015,0.143,0.0839,0.4779,0.8662,0.9364,0.052,100.9,-11.5,232789,36
Sunset Electric,J. Cole,hip-hop,2003,0.9529,0.634,0.2971,0.173,0.0,0.1034,104.5,-0.4,195761,67
Shadow,David Guetta,electronic,1996,0.7366,0.9236,0.4007,0.0,0.3643,0.0508,111.2,-7.2,205047,67
Low Fall,Taylor Swift,pop,2020,0.6675,0.655,0.2957,0.2521,0.0002,0.0335,110.0,-5.1,211010,46
Silver,Jason Aldean,country,2013,0.6425,0.7434,0.2267,0.2534,0.0,0.0431,139.0,-6.3,227927,50
Night Gone Shine,Rauw Alejandro,latin,2020,0.7582,0.6794,0.7603,0.2941,0.0377,0.0982,119.2,-8.2,215635,84
Shine Night,Foo Fighters,rock,2018,0.225,0.7278,0.3108,0.047,0.004,0.0333,95.9,-6.0,163124,57
Glow Stars,Taylor Swift,pop,2021,0.5848,0.7212,0.5779,0.2742,0.0,0.0,110.1,-8.6,218639,62
Neon Gold Gone,Bad Bunny,latin,2006,0.578,0.6966,0.8358,0.1864,0.0288,0.143,81.3,-4.6,246776,64
Break Love,J Balvin,latin,2003,0.886,0.7008,0.8497,0.1314,0.0342,0.1196,134.0,-6.1,249752,62
Stars Sunset,Red Hot Chili Peppers,rock,2013,0.6494,0.8415,0.5413,0.0,0.0588,0.0323,137.2,-7.1,206776,74
Rain Wild,Yo-Yo Ma,classical,2016,0.3907,0.0501,0.6665,0.9164,1.0,0.0393,174.7,-17.5,213473,45
Heart,Harry Styles,pop,2014,0.7509,0.8373,0.7219,0.4814,0.0068,0.0157,164.3,-7.7,238695,56
Found,Kendrick Lamar,hip-hop,2021,0.7424,0.55,0.2485,0.0876,0.0122,0.2671,97.8,-9.0,149007,62
Fire Stars Glow,Vampire Weekend,indie,2007,0.4993,0.3804,0.3359,0.5235,0.1083,0.0113,87.0,-9.0,219252,50
Red Fever,Tyler the Creator,hip-hop,2007,0.7331,0.8486,0.2517,0.1108,0.0,0.1488,122.9,-3.2,174966,65
Night Red Rise,Jhené Aiko,r&b,2015,0.609,0.872,0.7791,0.2335,0.0329,0.0168,153.9,-6.8,236351,55
Electric,Lil Nas X,hip-hop,1998,0.7659,0.6511,0.6506,0.0512,0.0,0.0971,121.2,-10.2,168942,35
Neon,Pearl Jam,rock,2024,0.5377,0.8359,0.2256,0.0196,0.1084,0.0377,139.3,-7.5,193042,74
Love,Max Richter,classical,1997,0.2763,0.0534,0.0,0.8743,1.0,0.0148,121.6,-10.3,274370,22
Free Glow Dreams,Tyler the Creator,hip-hop,2009,0.7118,0.348,0.6781,0.0,0.0,0.1255,97.1,-5.0,210883,80
Silver,Fleet Foxes,indie,2011,0.5754,0.8442,0.2878,0.608,0.0874,0.0582,120.6,-2.8,169716,55
Fire,Pearl Jam,rock,2008,0.6493,1.0,0.3431,0.0472,0.0962,0.0315,100.9,-8.5,153973,76
Midnight,Foo Fighters,rock,2019,0.7239,0.6169,0.3812,0.0283,0.1054,0.011,133.0,-7.5,289100,58
Shadow Dreams,Olivia Rodrigo,pop,2017,0.6408,0.7435,0.5209,0.0,0.0157,0.14,139.9,-8.1,220776,65
Gold,J Balvin,latin,2024,0.807,0.7937,0.6807,0.4256,0.0973,0.1836,60.0,-6.5,185378,87
Break,Post Malone,hip-hop,2000,0.7435,0.4641,0.2926,0.0849,0.0,0.0946,75.0,-6.8,187678,51
Glow Shadow Lost,Herbie Hancock,jazz,2020,0.3192,0.0582,0.0848,0.4702,0.1641,0.1011,146.2,-8.6,305646,30
Away Dance Blue,Martin Garrix,electronic,2019,0.7751,0.7821,0.2423,0.0556,0.3255,0.0607,134.9,-3.4,168777,56
Rise Storm Crystal,Yo-Yo Ma,classical,2012,0.3236,0.1476,0.2818,0.8666,0.6833,0.017,60.0,-10.0,153703,23
Rain Blue Crystal,The Killers,rock,2008,0.5279,0.7745,0.4547,0.1194,0.0172,0.022,132.7,-6.7,217744,54
Storm,Herbie Hancock,jazz,2001,0.2562,0.3815,0.5051,0.8156,0.1571,0.0273,137.4,-7.9,249366,38
Rise,Jason Aldean,country,2004,0.6,0.6907,0.9569,0.4105,0.0053,0.0797,117.8,-5.8,245070,45
Free,Miranda Lambert,country,2020,0.4939,0.5407,0.4506,0.2623,0.0324,0.0822,127.1,-8.6,183718,28
Silver Rain,John Coltrane,jazz,2004,0.6053,0.5137,0.5731,0.2793,0.0956,0.0551,108.6,-11.6,171064,62
Glow,Morgan Wallen,country,2018,0.6669,0.408,0.2142,0.0588,0.0,0.0301,140.1,-5.0,235725,46
Rain Home,Summer Walker,r&b,2015,0.5051,0.6631,0.4299,0.2826,0.0521,0.1454,101.2,-5.7,243244,44
Neon Rain,Olivia Rodrigo,pop,1991,0.5175,0.6421,0.5593,0.3131,0.017,0.0954,93.9,-5.4,170884,63
Lost,Olivia Rodrigo,pop,2009,0.6714,0.727,0.2108,0.3345,0.0053,0.0814,105.6,-9.3,181439,49
Found Wild Fire,Fleet Foxes,indie,2004,0.4263,0.5044,0.1438,0.5729,0.0,0.0666,133.9,-9.9,175628,39
Neon Shine,Chris Brown,r&b,1993,0.8023,0.3313,0.3709,0.1333,0.0135,0.0564,89.7,-5.9,238812,36
Low Waves,Carrie Underwood,country,2011,0.5894,0.923,0.4384,0.128,0.0335,0.096,108.6,-3.6,185994,68
Lost,Deadmau5,electronic,2012,0.5627,0.6714,0.2546,0.0209,0.2911,0.0272,111.4,-8.1,218175,53
Rush Fever,The Weeknd,pop,2015,0.6744,0.7512,0.3926,0.046,0.0114,0.1254,99.7,-5.6,186948,43
Fire Shine Love,Harry Styles,pop,2000,0.4785,0.8117,0.407,0.5198,0.0151,0.1047,138.1,-5.3,207263,55
Gone Waves,Ozuna,latin,2017,0.7784,0.7474,0.5197,0.0775,0.0336,0.154,89.4,-3.7,199370,75
Home Dreams Low,Post Malone,hip-hop,1991,0.7139,0.6291,0.5262,0.1742,0.0175,0.1368,75.3,-5.1,196972,70
Pulse Heart Dreams,Red Hot Chili Peppers,rock,1997,0.4729,0.5717,0.5421,0.0104,0.0,0.0637,134.5,-7.2,192268,46
Love,Martin Garrix,electronic,2018,0.6987,0.7125,0.0478,0.0945,0.4146,0.0555,120.6,-7.8,203052,65
Stars,Harry Styles,pop,2000,0.3754,0.7609,0.713,0.3013,0.0,0.0367,123.5,-5.9,248842,59
Dreams,Alicia Keys,r&b,2007,0.8671,0.5686,0.2259,0.5977,0.0,0.0763,89.1,-10.0,227531,44
Crystal Wild,Foo Fighters,rock,2003,0.4287,0.6197,0.1774,0.1791,0.1774,0.0457,140.2,-4.4,191414,22
Electric Midnight,Zach Bryan,country,1999,0.6931,0.6594,0.6889,0.3857,0.0034,0.0183,105.0,-10.8,214178,63
Rush Home Love,J. Cole,hip-hop,2024,0.6864,0.4527,0.52,0.0944,0.0289,0.1274,100.9,-8.2,246344,63
Home,Avicii,electronic,1998,0.7261,0.8859,0.8056,0.0048,0.1255,0.0743,132.7,-6.1,241755,64
Home Storm Echo,Dua Lipa,pop,2024,0.5593,0.7327,0.1885,0.4971,0.0,0.0884,136.4,-6.2,193136,53
Shine,Dua Lipa,pop,2000,0.6,0.5959,0.3746,0.0919,0.0,0.1777,100.8,-2.1,227219,28
Fever Red Rain,Post Malone,hip-hop,2001,0.6065,0.6376,0.9449,0.2292,0.0,0.0982,85.1,-8.3,234470,54
Break Waves,Deadmau5,electronic,1992,0.8132,0.5684,0.671,0.0125,0.4559,0.0876,122.2,-4.4,211682,65
Neon Fire Sunset,Frank Ocean,r&b,2003,0.6279,0.3661,0.6301,0.2096,0.0519,0.1526,124.1,-8.9,248917,77
Light Fall,Coldplay,rock,2017,0.5755,0.8183,0.2988,0.2847,0.1274,0.0518,119.1,-4.2,221824,50
Rain,Daddy Yankee,latin,2000,0.596,0.7191,0.6398,0.2957,0.034,0.1603,123.2,-7.4,189665,65
Love,Diana Krall,jazz,2014,0.4025,0.2595,0.4713,0.5407,0.0,0.0,169.1,-5.0,198786,71
Shadow,Kane Brown,country,2010,0.556,0.4923,0.734,0.3687,0.0426,0.0,129.1,-0.6,177086,55
Waves Heart,Adele,pop,1999,0.6248,0.7749,0.7283,0.2547,0.0579,0.1258,84.9,-6.1,120000,53
Night,Calvin Harris,electronic,2004,0.6871,0.8323,0.4958,0.0235,0.1329,0.1047,126.9,-2.5,224794,60
Wild Light Found,Dua Lipa,pop,2008,0.6969,0.6658,0.6585,0.3199,0.0493,0.1099,122.5,-5.3,226504,51
Lost Glow,Green Day,rock,2011,0.6662,0.7188,0.287,0.1951,0.0986,0.0749,136.3,-6.4,239669,61
High Rain Echo,Hilary Hahn,classical,2010,0.1861,0.4548,0.4642,0.876,0.8633,0.055,123.3,-13.3,255531,30
Rise Found Home,Harry Styles,pop,2021,0.8368,0.5427,0.4796,0.0016,0.0,0.0107,98.8,-4.4,190389,53
Stay Crystal Fever,Kygo,electronic,2012,0.809,0.823,0.2335,0.0762,0.4093,0.0,120.9,-3.8,226894,70
Glow Blue Lost,SZA,r&b,2002,0.7406,0.3463,0.5168,0.1859,0.0727,0.1316,110.0,-9.8,148641,56
Low Night Stay,Bad Bunny,latin,1994,0.8975,0.5515,0.7343,0.3955,0.063,0.1184,98.3,-3.1,269622,51
Heart,Jhené Aiko,r&b,1993,0.875,0.5374,0.4867,0.7549,0.0834,0.157,88.3,-3.6,130279,50
Found Pulse Echo,Olivia Rodrigo,pop,2017,0.7045,0.5542,0.164,0.0,0.0117,0.0438,103.3,-5.9,209336,48
Stars Storm,Post Malone,hip-hop,2003,0.8161,0.7661,0.7215,0.091,0.0082,0.2611,105.3,-7.4,172240,74
Echo,Martin Garrix,electronic,1997,0.7549,0.7506,0.4261,0.049,0.4388,0.1818,158.3,-3.4,194562,59
Rain,Ariana Grande,pop,1998,0.6433,0.6613,0.6982,0.0422,0.0205,0.1457,90.1,-7.6,199271,47
Gold Lost Free,Tyler the Creator,hip-hop,2024,0.8269,0.4706,0.243,0.078,0.0477,0.1287,95.5,-5.3,250437,77
Free,Taylor Swift,pop,2010,0.6087,0.8328,0.6065,0.2857,0.0787,0.0,93.6,-6.7,271226,57
Shadow,Billie Eilish,pop,2007,0.4746,0.8231,0.7024,0.0,0.0,0.0,119.0,-1.4,248226,72
Away Waves Lost,Megan Thee Stallion,hip-hop,2022,0.7532,0.4769,0.6815,0.062,0.0356,0.1317,122.1,-5.4,248965,66
Lost,Olivia Rodrigo,pop,1997,0.621,0.588,0.631,0.0,0.0539,0.0239,145.0,-4.2,196484,58
Red Fever Stars,H.E.R.,r&b,2006,0.7065,0.3329,0.6912,0.3135,0.0,0.0749,107.4,-10.5,240189,64
Silver Storm Neon,Luis Fonsi,latin,2020,0.7904,0.6403,0.7919,0.0,0.0448,0.0994,122.8,-3.5,208719,68
Love,Luke Combs,country,2023,0.7126,0.4941,0.5792,0.6208,0.0057,0.0485,101.7,-2.8,175910,61
Neon Waves Silver,Green Day,rock,1995,0.6845,0.826,0.6389,0.0924,0.0853,0.0395,138.3,-7.8,147660,45
Night Rain,Olivia Rodrigo,pop,2011,0.5918,0.7126,0.5372,0.0,0.0208,0.0731,124.2,-11.0,233040,60
Wild,Olivia Rodrigo,pop,2003,0.7685,0.5792,0.5568,0.1838,0.0541,0.1019,130.8,-6.9,228596,67
Red Silver,SZA,r&b,1992,0.3836,0.7331,0.0575,0.0751,0.0082,0.0302,73.3,-6.7,188458,31
Rise Stay Gold,Shakira,latin,2001,0.8389,0.7202,0.9053,0.4754,0.0388,0.1057,115.3,-8.3,145766,49
Neon Stay,Taylor Swift,pop,2001,0.4341,0.8823,0.52,0.2532,0.0432,0.0615,126.9,-5.7,197183,52
Blue,Sufjan Stevens,indie,1991,0.4956,0.4624,0.2297,0.1542,0.0,0.0196,128.8,-13.9,178421,35
Shadow High,Taylor Swift,pop,1991,0.4824,0.6285,0.4628,0.0004,0.0,0.0703,126.5,-3.7,162873,40
Storm,Deadmau5,electronic,2004,0.6994,0.952,0.2131,0.0,0.0523,0.0217,114.2,-7.7,249623,61
Electric Fever Gold,Ozuna,latin,2012,0.7288,0.8172,0.6497,0.1333,0.0147,0.1067,135.0,-7.2,194535,84
Electric,Mitski,indie,2018,0.2319,0.4401,0.2475,0.5731,0.0,0.0,128.6,-6.5,176026,31
Stars Shine,Shakira,latin,2006,0.62,0.4749,0.0907,0.2761,0.061,0.0904,137.2,-10.4,236864,45
Stars,Luke Combs,country,2021,0.4096,0.5681,0.4245,0.283,0.013,0.0165,79.8,-6.4,219770,60
Away Found,Drake,hip-hop,1996,0.8221,0.8693,0.6038,0.0826,0.0476,0.3106,129.9,-5.3,207930,44
Sunset Stay,Morgan Wallen,country,2019,0.5422,0.4337,0.5295,0.256,0.0076,0.0675,123.8,-8.5,207842,60
Red Light Rain,Ariana Grande,pop,2017,0.7293,0.6944,0.5892,0.2178,0.0,0.094,99.2,-4.5,216081,38
Midnight Electric,Mac DeMarco,indie,2003,0.4753,0.5078,0.2687,0.1062,0.1541,0.0228,172.7,-3.2,197933,38
Shadow Stars Free,David Guetta,electronic,2019,0.651,0.7829,0.53,0.0325,0.1738,0.0406,131.5,-5.4,240711,70
Home Love Echo,Chris Stapleton,country,2006,0.474,0.587,0.4705,0.068,0.0,0.052,111.7,-7.6,186588,77
Love,Marshmello,electronic,2021,0.7457,0.6759,0.1797,0.103,0.2122,0.1421,121.8,-5.9,175745,55
Wild Dance,Jhené Aiko,r&b,1995,0.8669,0.6541,0.4354,0.3442,0.0579,0.1344,80.2,-8.8,122213,52
Rise Midnight,David Guetta,electronic,2013,0.7877,0.9346,0.2132,0.0935,0.4865,0.1439,123.0,-2.8,275413,68
Echo,Luis Fonsi,latin,1995,0.713,0.7107,0.6809,0.3216,0.0016,0.0394,72.0,-2.3,204491,36
High Free Glow,Justin Bieber,pop,2016,0.6278,0.9165,0.5023,0.4082,0.0,0.0489,112.6,-6.0,207584,55
Rain,Dua Lipa,pop,2007,0.7002,0.6387,0.5741,0.3441,0.0328,0.1273,134.7,-1.4,261375,50
Lost Red,Muse,rock,2013,0.32,0.7373,0.4314,0.0,0.0,0.0285,87.8,-4.7,220663,44
Lost Found,Adele,pop,2013,0.6125,0.9502,0.6604,0.1635,0.0769,0.0801,102.3,-7.5,213571,57
Crystal Lost,Beach House,indie,2023,0.5409,0.9469,0.5443,0.4002,0.0,0.0414,143.6,-11.4,176659,64
Midnight,The Killers,rock,2004,0.5911,0.6015,0.6159,0.3147,0.0941,0.0996,132.1,-4.3,225581,68
Rise Fire,Murray Perahia,classical,2000,0.297,0.3114,0.3868,0.8409,0.7166,0.0219,76.0,-24.4,200435,25
Fever,Tyler the Creator,hip-hop,2011,0.5391,0.7446,0.575,0.3779,0.0162,0.0052,122.4,-6.5,190884,54
Fever Echo Home,Radiohead,rock,2013,0.4345,0.7996,0.4587,0.0031,0.0466,0.0639,117.5,-3.1,212507,54
Fall Found Red,Carrie Underwood,country,1990,0.5664,0.6231,0.667,0.4813,0.038,0.0306,138.2,-8.0,140916,60
Blue Pulse,Bad Bunny,latin,2007,0.6893,0.6404,0.5455,0.1826,0.0,0.0283,117.3,-5.2,223350,83
Fever,Tiësto,electronic,2001,0.9061,0.8571,0.5878,0.0277,0.0,0.1451,117.0,-5.7,149307,84
Dance,Khalid,r&b,2017,0.8254,0.4944,0.5001,0.0,0.0792,0.0,108.3,-13.4,172845,85
Dreams Fever,Karol G,latin,1996,0.6767,0.9167,0.6009,0.3414,0.031,0.0,109.3,-7.4,247475,68
Sunset Found,Pearl Jam,rock,2012,0.2913,0.833,0.697,0.1927,0.1557,0.0563,158.9,-8.3,250659,23
Dreams,André Rieu,classical,2010,0.2187,0.2605,0.4705,0.8535,0.742,0.0225,124.9,-14.2,234124,14
Free Shine,André Rieu,classical,2023,0.4437,0.2167,0.0923,0.9614,0.861,0.057,106.7,-14.0,217043,27
Stay Love,Daddy Yankee,latin,2000,0.8951,0.698,0.995,0.0254,0.0575,0.0687,124.0,-8.3,127267,88
Sunset Silver,Muse,rock,2011,0.5758,0.7229,0.4985,0.2302,0.0,0.087,126.2,-7.4,180751,52
Crystal Shine Storm,Maluma,latin,2024,0.7873,0.7041,0.646,0.0822,0.017,0.0923,115.9,-4.7,214623,71
Home Light,Taylor Swift,pop,2018,0.6935,0.7071,0.5051,0.1684,0.0,0.0741,114.1,-6.4,131614,62
Found Fever,Ariana Grande,pop,2017,0.6806,0.7591,0.5168,0.3427,0.0,0.116,126.9,-2.2,297235,60
Light Crystal Rain,Foo Fighters,rock,2007,0.4389,0.8484,0.2211,0.0,0.0,0.0547,115.9,-7.6,187144,57
Crystal,Skrillex,electronic,2003,0.6472,0.7263,0.7066,0.0558,0.3568,0.0444,132.1,-5.0,209186,80
Lost Heart Night,Chet Baker,jazz,2007,0.8462,0.347,0.6712,0.6711,0.188,0.045,138.9,-10.4,133609,48
Electric Sunset Night,J Balvin,latin,2017,0.6408,0.7785,0.5927,0.2381,0.0475,0.1235,99.0,-0.6,193924,73
Neon,Shakira,latin,2013,0.6403,0.6721,0.6788,0.1593,0.0325,0.1487,128.6,-4.8,189915,44
Crystal Neon,Lil Nas X,hip-hop,1997,0.674,0.3967,0.3951,0.0008,0.0,0.165,124.5,-6.7,213607,42
Heart,Drake,hip-hop,1997,0.7147,0.5296,0.6845,0.0243,0.0171,0.1419,95.6,0.0,215436,28
Away Fire,Post Malone,hip-hop,1993,0.7106,0.6452,0.5732,0.1389,0.0077,0.0813,141.9,-2.6,258487,53
Glow Dance Pulse,André Rieu,classical,2016,0.2822,0.0427,0.7582,0.9469,0.9035,0.0517,128.7,-14.5,204691,6
Wild Gone Home,Harry Styles,pop,1994,0.5307,0.7024,0.516,0.097,0.0205,0.1251,110.7,-7.5,192510,44
Away Electric Home,Kamasi Washington,jazz,2022,0.4863,0.6218,0.6299,0.8196,0.3507,0.0626,109.0,-7.8,182082,51
Low Storm,Chris Brown,r&b,2023,0.5414,0.7933,0.2697,0.1749,0.0122,0.1002,101.8,-5.4,220255,65
Fire Electric,Megan Thee Stallion,hip-hop,2019,0.7369,0.8089,0.2493,0.3637,0.0144,0.3315,62.9,-6.5,295027,51
Electric Free Home,Karol G,latin,1997,0.7938,0.8802,0.5825,0.0331,0.0,0.0505,105.0,-5.7,199795,66
Light,Tiësto,electronic,2015,0.6876,0.9434,0.4996,0.0,0.3244,0.1284,133.9,-5.1,186663,69
Stars Low,Sufjan Stevens,indie,2023,0.6885,0.785,0.5288,0.5224,0.0,0.0989,135.2,-10.0,182737,62
Fall,Fleet Foxes,indie,1996,0.5082,0.4014,0.4761,0.0,0.0469,0.0265,139.1,-6.3,234802,45
Low Waves Pulse,Megan Thee Stallion,hip-hop,2017,0.7606,0.5484,0.497,0.2027,0.0198,0.3218,74.8,-7.9,191419,79
Gold Stars,Red Hot Chili Peppers,rock,2017,0.4496,0.7162,0.5012,0.0,0.0352,0.0729,134.2,-3.4,241589,66
Love Sunset Silver,H.E.R.,r&b,2003,0.6532,0.3296,0.5887,0.0,0.0213,0.1551,101.4,-8.4,256307,49
Fever,Phoebe Bridgers,indie,1993,0.3253,0.6194,0.4183,0.1471,0.2527,0.0712,131.6,-6.5,259031,36
Glow,Red Hot Chili Peppers,rock,2007,0.2748,0.7909,0.0797,0.1177,0.0389,0.0305,129.7,-7.8,170408,62
Blue Electric High,Alicia Keys,r&b,2014,0.7106,0.5693,0.2702,0.1864,0.0325,0.0793,119.4,-4.4,201915,50
Sunset,Jhené Aiko,r&b,1996,0.5315,0.7193,0.5775,0.4958,0.0,0.1429,116.9,-5.9,160138,50
Storm,Luis Fonsi,latin,2017,0.7519,0.6167,0.5537,0.2216,0.0572,0.1819,125.8,-6.5,253621,45
Shine,Taylor Swift,pop,1994,0.6216,0.6306,0.7385,0.3768,0.0585,0.1099,129.5,-9.2,272986,65
Away Break,Rosalía,latin,1992,0.8091,0.7807,0.6017,0.3929,0.0236,0.0,115.8,0.0,187544,61
Rush Gold,Phoebe Bridgers,indie,2020,0.5189,0.3212,0.5768,0.6279,0.0784,0.0529,89.8,-11.7,219988,28
Break,Ariana Grande,pop,2009,0.7054,0.757,0.5935,0.2598,0.0444,0.0287,122.9,-2.0,186074,91
Shine Midnight,Foo Fighters,rock,2008,0.4124,0.5856,0.8498,0.381,0.1432,0.0483,135.5,-6.7,190638,41
Lost Found Heart,Murray Perahia,classical,2000,0.2665,0.3087,0.418,0.9418,0.5508,0.0165,103.0,-12.7,232304,4
Silver,Green Day,rock,1992,0.5232,0.6907,0.7045,0.0269,0.0,0.0324,102.6,-4.7,236184,59
Away Electric Neon,Gregory Porter,jazz,2012,0.65,0.0,0.4245,0.5112,0.7463,0.002,74.7,-11.9,186368,36
Storm,Martin Garrix,electronic,1996,0.7025,0.7438,0.2573,0.1306,0.0,0.0658,129.3,-9.5,268902,54
Gold High Light,Green Day,rock,2012,0.6209,0.5644,0.2651,0.0836,0.0,0.0698,122.7,-6.5,238873,73
Midnight Lost,Tame Impala,indie,1996,0.5945,0.6485,0.2748,0.5138,0.0278,0.0,122.9,-10.1,218253,43
Lost Rise,Cardi B,hip-hop,2023,0.932,0.4015,0.4831,0.1372,0.0011,0.0277,84.4,-2.5,167501,59
Fever Electric,Zedd,electronic,2008,0.9062,0.7204,0.3246,0.0484,0.0,0.0345,130.7,-6.9,306184,58
Rain Fire,Drake,hip-hop,1998,0.9219,0.3703,0.5614,0.055,0.0526,0.0,115.9,-4.6,120000,63
Away Light Stay,H.E.R.,r&b,2007,0.3924,0.7677,0.2378,0.0,0.0286,0.135,89.0,-10.8,120000,42
Stars Fall Shadow,Ed Sheeran,pop,2014,0.588,0.6205,0.6042,0.1209,0.0651,0.0779,98.8,-5.8,241511,57
Fall Gold,Travis Scott,hip-hop,2003,0.7318,0.7394,0.5186,0.3865,0.0,0.2712,103.0,-9.5,192972,38
Low Away,Hilary Hahn,classical,2014,0.1256,0.336,0.637,0.9333,0.7641,0.0151,92.6,-15.7,174037,41
Gold Neon,Muse,rock,2008,0.6104,0.6689,0.5987,0.0,0.0,0.0923,104.5,-4.8,197939,63
Shine Rain Stay,Maluma,latin,2004,0.6117,0.7418,0.7151,0.0,0.0108,0.0727,99.5,-3.4,184352,78
Dreams Neon,Kanye West,hip-hop,2005,0.7833,0.3869,0.2094,0.3352,0.0251,0.1444,132.5,-9.0,221860,56
Sunset,Morgan Wallen,country,2016,0.5397,0.4041,0.9124,0.557,0.0519,0.0347,113.9,-4.6,258809,69
Home Neon Stars,Ed Sheeran,pop,1999,0.7116,0.622,0.7702,0.1305,0.0044,0.0801,147.1,-3.4,255894,82
Rain Dance,Yo-Yo Ma,classical,1993,0.1486,0.2221,0.3029,0.9485,0.8727,0.039,107.1,-6.2,174057,5
Storm Fire,Tiësto,electronic,2008,0.7564,0.7706,0.1411,0.089,0.2308,0.0571,137.9,-5.6,270252,42
Dance Heart,Red Hot Chili Peppers,rock,2017,0.5819,0.6876,0.4275,0.0714,0.1558,0.0159,83.2,-8.1,184877,62
Pulse,Olivia Rodrigo,pop,2010,0.7843,0.7676,0.5498,0.3344,0.0416,0.007,100.5,-7.2,120000,63
Dreams,The Weeknd,pop,2003,0.6588,0.5642,0.5156,0.2292,0.0528,0.1342,98.4,-6.8,227715,45
Rain,Zedd,electronic,2022,0.926,0.7361,0.1967,0.1647,0.1669,0.0619,126.3,-4.0,164203,65
High Rise Dreams,Kanye West,hip-hop,1999,0.7,0.7081,0.587,0.3581,0.0,0.1515,86.4,-12.4,226487,52
Break Love Dance,Norah Jones,jazz,2008,0.2213,0.5203,0.6317,0.4818,0.1608,0.061,132.4,-15.3,254305,24
Rise,Megan Thee Stallion,hip-hop,2019,0.7154,0.8951,0.6505,0.0,0.0211,0.1162,76.0,-7.6,216565,73
Free,Imagine Dragons,rock,2011,0.3601,0.7131,0.7415,0.2894,0.0249,0.0094,158.2,-2.9,158500,39
Wild,Jhené Aiko,r&b,1992,0.7169,0.5076,0.5341,0.1731,0.0,0.1479,123.9,-6.8,215687,40
Red Waves,Rauw Alejandro,latin,2007,0.7993,0.7122,0.8653,0.0,0.0149,0.0771,109.6,-1.7,237848,70
Break Glow Waves,Adele,pop,2000,0.7143,0.596,0.7498,0.0,0.0192,0.1153,113.7,-8.9,281087,57
Shadow,Olivia Rodrigo,pop,1991,0.9087,0.6432,0.4843,0.131,0.0304,0.1474,97.3,-4.8,225651,37
Light Gone Electric,Harry Styles,pop,2001,0.6029,0.7134,0.4404,0.119,0.0103,0.0981,103.6,-5.2,147887,77
Away Free,Luis Fonsi,latin,1995,0.7208,0.626,0.2361,0.087,0.0,0.1527,118.8,-4.8,178210,33
Love Neon Blue,Karol G,latin,2018,0.5951,0.7807,0.8313,0.3337,0.0648,0.2025,117.2,-5.8,173508,51
Waves Glow Low,Deadmau5,electronic,2019,0.8738,0.8791,0.3753,0.0803,0.51,0.0959,144.3,-4.6,232056,77
